keys,en,ko,en_XA
ACHV_HEIGHT_25_DESC,Reach floor 25 in Endless Stairs.,무한의 계단에서 25층에 오른다.,[Řéàçĥ ƒłôôř 25 ïń Éńðłéşş Şţàïřş. ——————————————————————————]
ACHV_HEIGHT_50_NAME,Halfway to the Sky,하늘 절반,[Ĥàłƒŵàÿ ţô ţĥé Şķÿ ——————————————]
ACHV_HEIGHT_50_DESC,Reach floor 50 in Endless Stairs.,무한의 계단에서 50층에 오른다.,[Řéàçĥ ƒłôôř 50 ïń Éńðłéşş Şţàïřş. ——————————————————————————]
ACHV_HEIGHT_100_NAME,Cloud Cat,구름 위 냥이,[Çłôüð Çàţ ———————]
ACHV_HEIGHT_100_DESC,Reach floor 100 in Endless Stairs.,무한의 계단에서 100층에 오른다.,[Řéàçĥ ƒłôôř 100 ïń Éńðłéşş Şţàïřş. ———————————————————————————]
ACHV_CLASSIC_LV5_NAME,Fifth Floor Down,다섯 판째,[Ƒïƒţĥ Ƒłôôř Ðôŵń ————————————]
ACHV_CLASSIC_LV5_DESC,Reach LEVEL 5 in Stage Mode.,스테이지 모드에서 LEVEL 5에 닿는다.,[Řéàçĥ ŁÉṼÉŁ 5 ïń Şţàğé Ṁôðé. ——————————————————————]
ACHV_CLASSIC_LV10_NAME,Ten Shutters,열 번의 셔터,[Ţéń Şĥüţţéřş —————————]
ACHV_CLASSIC_LV10_DESC,Reach LEVEL 10 in Stage Mode.,스테이지 모드에서 LEVEL 10에 닿는다.,[Řéàçĥ ŁÉṼÉŁ 10 ïń Şţàğé Ṁôðé. ———————————————————————]
ACHV_CLASSIC_100K_NAME,Six Figures,십만 점,[Şïẋ Ƒïğüřéş ————————]
ACHV_CLASSIC_100K_DESC,Score 100000 points in Stage Mode.,스테이지 모드에서 100000점을 낸다.,[Şçôřé 100000 þôïńţş ïń Şţàğé Ṁôðé. ———————————————————————————]
ACHV_KEYCAP_FIRST_NAME,First Keycap,첫 키캡,[Ƒïřşţ Ķéÿçàþ —————————]
ACHV_KEYCAP_FIRST_DESC,Pull your first keycap from the shop.,상점에서 키캡을 처음 뽑는다.,[Þüłł ÿôüř ƒïřşţ ķéÿçàþ ƒřôɱ ţĥé şĥôþ. —————————————————————————————]
ACHV_KEYCAP_RING_NAME,A to Z,에이 투 지,[Å ţô Ż ————]
ACHV_KEYCAP_RING_DESC,Complete an A-Z ring for any cat.,한 냥이의 A~Z를 한 바퀴 채운다.,[Çôɱþłéţé àń Å-Ż řïńğ ƒôř àńÿ çàţ. ——————————————————————————]
ACHV_CAT_UNLOCK_ALL_NAME,Full House,다 모였다,[Ƒüłł Ĥôüşé ————————]
ACHV_CAT_UNLOCK_ALL_DESC,Recruit every design cat.,디자인 냥이를 전부 합류시킨다.,[Řéçřüïţ éṽéřÿ ðéşïğń çàţ. ————————————————————]
ACHV_CAT_MAX_GRADE_NAME,Top Grade,만렙 냥이,[Ţôþ Ğřàðé ———————]
ACHV_CAT_MAX_GRADE_DESC,Raise any cat to grade 4.,아무 냥이나 등급 4까지 키운다.,[Řàïşé àńÿ çàţ ţô ğřàðé 4. ————————————————————]
ACHV_GACHA_100_NAME,Capsule Habit,캡슐 중독,[Çàþşüłé Ĥàƀïţ ——————————]
ACHV_GACHA_100_DESC,Draw 100 keycaps in total.,키캡을 누적 100장 뽑는다.,[Ðřàŵ 100 ķéÿçàþş ïń ţôţàł. ————————————————————]
ACHV_GOLD_10K_NAME,Gold Digger,금맥 사냥꾼,[Ğôłð Ðïğğéř ————————]
ACHV_GOLD_10K_DESC,Earn 10000 gold in total.,골드를 누적 10000 모은다.,[Éàřń 10000 ğôłð ïń ţôţàł. ————————————————————]
ACHV_CUSTOM_CAT_NAME,My Own Cat,나만의 냥이,[Ṁÿ Ôŵń Çàţ ————————]
ACHV_CUSTOM_CAT_DESC,Save a look in the cat creator.,꾸미기에서 나만의 냥이를 저장한다.,[Şàṽé à łôôķ ïń ţĥé çàţ çřéàţôř. ————————————————————————]
ACHV_REPLAY_WATCH_NAME,Front Row Seat,관중석,[Ƒřôńţ Řôŵ Şéàţ ———————————]
ACHV_REPLAY_WATCH_DESC,Watch a replay from the ranking board.,랭킹에서 남의 리플레이를 본다.,[Ŵàţçĥ à řéþłàÿ ƒřôɱ ţĥé řàńķïńğ ƀôàřð. ——————————————————————————————]
ACHV_LEVEL_10_NAME,Regular,단골,[Řéğüłàř —————]
ACHV_LEVEL_10_DESC,Reach account level 10.,계정 레벨 10에 오른다.,[Řéàçĥ àççôüńţ łéṽéł 10. ——————————————————]
ACHV_LEVEL_25_NAME,Veteran,고인물,[Ṽéţéřàń —————]
ACHV_LEVEL_25_DESC,Reach account level 25.,계정 레벨 25에 오른다.,[Řéàçĥ àççôüńţ łéṽéł 25. ——————————————————]
ACHV_LEVEL_50_NAME,Cat-Tris Master,캣트리스 마스터,[Çàţ-Ţřïş Ṁàşţéř ————————————]
ACHV_LEVEL_50_DESC,Reach the top account level.,계정 레벨을 만렙까지 올린다.,[Řéàçĥ ţĥé ţôþ àççôüńţ łéṽéł. ——————————————————————]
CC_PRICE,{gold} G,{gold} G,[{gold} Ğ ——————]
CC_FROM,{name}’s part,{name}의 파츠,[{name}’ş þàřţ ——————————]
CC_BUY_ASK,Buy “{name}” for {gold} G?,「{name}」을 {gold} G에 살까냥?,[Ɓüÿ “{name}” ƒôř {gold} Ğ? ————————————————————]
CC_BUY,Buy,사기,[Ɓüÿ ——]
CC_WALLET,You have {gold} G,가진 골드 {gold} G,[Ÿôü ĥàṽé {gold} Ğ —————————————]
CC_BOUGHT,New part unlocked! (-{gold} G),새 파츠를 손에 넣었다냥! (-{gold} G),[Ńéŵ þàřţ üńłôçķéð! (-{gold} Ğ) ————————————————————————]
CC_NO_GOLD,Not enough gold ({gold} G needed),골드가 모자란다냥 ({gold} G 필요),[Ńôţ éńôüğĥ ğôłð ({gold} Ğ ńééðéð) ——————————————————————————]
CC_PRICE_CAN,{cans} cans,캔 {cans}개,[{cans} çàńş ————————]
CC_WALLET_CAN,You have {cans} cans,가진 캔 {cans}개,[Ÿôü ĥàṽé {cans} çàńş ————————————————]
CC_BUY_ASK_CAN,Buy “{name}” for {cans} cans?,「{name}」을 캔 {cans}개에 살까냥?,[Ɓüÿ “{name}” ƒôř {cans} çàńş? ———————————————————————]
CC_BOUGHT_CAN,Unique part unlocked! (-{cans} cans),유니크 파츠를 손에 넣었다냥! (-{cans}캔),[Üńïɋüé þàřţ üńłôçķéð! (-{cans} çàńş) ————————————————————————————]
CC_NO_CANS,Not enough cans ({cans} needed),캔이 모자란다냥 ({cans}개 필요),[Ńôţ éńôüğĥ çàńş ({cans} ńééðéð) ————————————————————————]
CC_PRESET_LOCKED,({n} parts not owned yet),({n}개는 아직 안 산 파츠),[({n} þàřţş ńôţ ôŵńéð ÿéţ) ————————————————————]
FX_LINE_2,DOUBLE,더블,[ÐÔÜƁŁÉ ————]
FX_LINE_3,TRIPLE,트리플,[ŢŘÏÞŁÉ ————]
FX_LINE_4,TETRIS!,테트리스!,[ŢÉŢŘÏŞ! —————]
FX_COMBO,COMBO {n},콤보 {n},[ÇÔṀƁÔ {n} ———————]
FX_GOLDRUSH,GOLD RUSH!,골드러시!,[ĞÔŁÐ ŘÜŞĤ! ————————]
FX_BEST_LINE,BEST {n} F,최고 {n} F,[ƁÉŞŢ {n} Ƒ ————————]
HUD_GOLDRUSH,GOLD RUSH,골드러시,[ĞÔŁÐ ŘÜŞĤ ———————]
HUD_RUSH_GAUGE,RUSH,러시 게이지,[ŘÜŞĤ ———]
